Name,Address,State,City,Phone,Email,PPN
Care Plus Hospitals Pvt Ltd,80 Feet Road New Balaji Colony MR Palli,Andhra Pradesh,Tirupati,2240077,CAREPLUSHOSPITALS1@GMAIL.COM,No
Dbr And Sk Super Speciality Hospital,505  Mosque Road  Tirupati,Andhra Pradesh,Tirupati,0877 - 6667999,yugnag@gmail.com,No
Elite Multi Speciality Hospital,10-14-57616 Reddy And Reddy Colony,Andhra Pradesh,Tirupati,7799810077 / 08772251000,elitehospitals@gmail.com,No
Fortuna Women And Orthocare Hospital,Plot No 7   Opp Goutham Talent School  Mm Complex,Andhra Pradesh,Tirupati,2265999,FORTUNAHOSPITALTPT@GMAIL.COM,No
Gayathri Hospital ,# 484 & 485  V V Mahal Road  Tirupathi  Chittor,Andhra Pradesh,Tirupati,0877 - 2253714 / 2228082,gayathrihospitals@gmail.com,No
Gopi Madhavi Hospital,#10-3-206/M2/1 READY AND READY COLONY,Andhra Pradesh,Tirupati,0877-2255660,GMHOSPITAL55@GMAIL.COM,No
Helios Hospital,18-2-148  Opp: Devendra Theatre ,Andhra Pradesh,Tirupati,2223636,HELIOS.TIRUPATI@GMAIL.COM,No
M S Hospitals,Road No1  18.2.263  Abbanna Colony  Near Tirumala Bypass Raod,Andhra Pradesh,Tirupati,0877 - 2282459 / 2280779,Kunsrujan@yahoo.in,No
Maha Hospital,13-7-936  Tude Road   Tirupati  Near Ttd Srinivasam Complex (Land Mark),Andhra Pradesh,Tirupati,877-2266601/02/03,mahahospitals@gmail.com,No
Mother Hospital,6-2-145  T.Nagar,Andhra Pradesh,Tirupati,0877 - 2286112 / 2287112,motherhospitaltpt@gmail.com,No
Narayanadri Hospitals And Reserch Institute Pvt Ltd,Beside Vartha Press  Renigunta Road   Tirupati,Andhra Pradesh,Tirupati,6543111/6454444,NARAYANADRIHOSPITALS@GMAIL.COM,No
Prashanth Hospital,D.No 410 Tilak Road Tirupati,Andhra Pradesh,Tirupati,0877 - 2254333 / 2252466,tpa.narayanadrihospitals@gmail.com,No
Radha Narayan Hospital For Women And Children,19-4-395  North Bairagipattede,Andhra Pradesh,Tirupati,0877 - 2240522,galiguttereddy@yahoo.co.in,No
Ravi Neuro And Emergency Hospital,# 576  Reddy & Reddy Colony,Andhra Pradesh,Tirupati,0863 --2222369,rnehospital@yahoo.com,No
Russh Multi Spl Hospital,Door No-10-14-57616  Tirupati,Andhra Pradesh,Tirupati,0877 - 2220487,russhhospitals@gmail.com,No
Sagar Hospital,T Nagar  Tirupati Chittoor,Andhra Pradesh,Tirupati,0877-2281888,SAGARHOSPITAL9@GMAIL.COM,No
Sneha Super Speciality Hospital,Sarojini Devi Layout Old Materinty Ruya Hospital Road   ,Andhra Pradesh,Tirupati,2287618/2286533/2286346,SNEHAHOSPITALSUPERSPECIALITY@GMAIL.COM,No
Sri Chakra Hospitals,10-13-496  Reddy & Reddy Colony,Andhra Pradesh,Tirupati,877-6648220/6647024,mrajeshortho@gmail.com,No
Sri Maruthi Speciality Hospital,20-3-88/G1  Siva Jyothi Nagar Tirumala Bypass Road  Leela Mahal Centre  Tirupati,Andhra Pradesh,Tirupati,0877-2281111,SRIMARUTHIHOSPITALS@GMAIL.COM,No
Sri Sai Ortho Care,6-2-105  Old Maternity Hospital Road,Andhra Pradesh,Tirupati,0877--2287449,kirankumar_gp@yahoo.com,No
Sri Sai Sudha Hospitals,#521  Reddy & Reddy Colony,Andhra Pradesh,Tirupati,0877-2227020 / 6669515,saisudhahospitalstpt@gmail.com,No
Sri Vignesh Hospital,Opp Sai Baba Temple  T.K.Street  Tirupati  Tirupati,Andhra Pradesh,Tirupati,0877 - 2227544,csrikanth_ms@yahoo.co.in,No
Surya Multispeciality And Emergency Hospital,Door No: 10-13-516 Reddy and Reddy Colony,Andhra Pradesh,Tirupati,0877-2280567,SURYAMULTISPECIALITYHOSPITAL@GMAIL.COM,No
Swetha Childrens Hospital,18-1-664  Bhavani Nagar,Andhra Pradesh,Tirupati,877-2222228,sweethahospital2013@gmail.com,No
Vennela Super Speciality Eye And Dental Hospital,502  B  1st Floor  K T Road  Opp Sbi,Andhra Pradesh,Tirupati,877-2228266,drprasannakumarreddy@gmail.com,No
